Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
07/01/2022 11:00,11,190.2,181,ug/m3,240,Very Unhealthy,Valid
07/01/2022 12:00,12,186.8,174,ug/m3,237,Very Unhealthy,Valid
07/01/2022 13:00,13,167.1,136,ug/m3,217,Very Unhealthy,Valid
07/01/2022 14:00,14,150.9,128,ug/m3,201,Very Unhealthy,Valid
07/01/2022 15:00,15,129.6,111,ug/m3,189,Unhealthy,Valid
07/01/2022 16:00,16,122.4,114,ug/m3,186,Unhealthy,Valid
07/01/2022 17:00,17,122.2,122,ug/m3,185,Unhealthy,Valid
07/01/2022 18:00,18,117.9,113,ug/m3,183,Unhealthy,Valid
07/01/2022 19:00,19,139.9,166,ug/m3,195,Unhealthy,Valid
07/01/2022 20:00,20,158.3,183,ug/m3,209,Very Unhealthy,Valid
07/01/2022 21:00,21,177.1,200,ug/m3,227,Very Unhealthy,Valid
07/01/2022 22:00,22,193.6,210,ug/m3,244,Very Unhealthy,Valid
07/01/2022 23:00,23,201.9,211,ug/m3,252,Very Unhealthy,Valid
08/01/2022 00:00,0,209.7,217,ug/m3,260,Very Unhealthy,Valid
08/01/2022 01:00,1,203.9,198,ug/m3,254,Very Unhealthy,Valid
08/01/2022 02:00,2,190.3,176,ug/m3,240,Very Unhealthy,Valid
08/01/2022 03:00,3,175.4,159,ug/m3,226,Very Unhealthy,Valid
08/01/2022 04:00,4,170.4,165,ug/m3,221,Very Unhealthy,Valid
08/01/2022 05:00,5,166.8,163,ug/m3,217,Very Unhealthy,Valid
08/01/2022 06:00,6,171.3,162,ug/m3,222,Very Unhealthy,Valid
08/01/2022 07:00,7,172.4,175,ug/m3,223,Very Unhealthy,Valid
08/01/2022 08:00,8,178.5,195,ug/m3,229,Very Unhealthy,Valid
08/01/2022 09:00,9,180.1,185,ug/m3,230,Very Unhealthy,Valid
08/01/2022 10:00,10,169.6,147,ug/m3,220,Very Unhealthy,Valid
08/01/2022 11:00,11,153.8,132,ug/m3,204,Very Unhealthy,Valid
08/01/2022 12:00,12,145.7,128,ug/m3,198,Unhealthy,Valid
08/01/2022 13:00,13,146.4,147,ug/m3,198,Unhealthy,Valid
08/01/2022 14:00,14,138.3,125,ug/m3,194,Unhealthy,Valid
08/01/2022 15:00,15,120.3,104,ug/m3,184,Unhealthy,Valid
08/01/2022 16:00,16,111.3,102,ug/m3,180,Unhealthy,Valid
08/01/2022 17:00,17,101.7,93,ug/m3,175,Unhealthy,Valid
08/01/2022 18:00,18,104.3,107,ug/m3,176,Unhealthy,Valid
08/01/2022 19:00,19,120.6,137,ug/m3,185,Unhealthy,Valid
08/01/2022 20:00,20,137.7,155,ug/m3,193,Unhealthy,Valid
08/01/2022 21:00,21,141,153,ug/m3,195,Unhealthy,Valid
08/01/2022 22:00,22,170.2,195,ug/m3,221,Very Unhealthy,Valid
08/01/2022 23:00,23,186.1,202,ug/m3,236,Very Unhealthy,Valid
09/01/2022 00:00,0,180.5,175,ug/m3,231,Very Unhealthy,Valid
09/01/2022 01:00,1,160.7,141,ug/m3,211,Very Unhealthy,Valid
09/01/2022 02:00,2,151.8,143,ug/m3,202,Very Unhealthy,Valid
09/01/2022 03:00,3,144.9,138,ug/m3,197,Unhealthy,Valid
09/01/2022 04:00,4,144.9,145,ug/m3,197,Unhealthy,Valid
09/01/2022 05:00,5,150.4,156,ug/m3,200,Unhealthy,Valid
09/01/2022 06:00,6,162,184,ug/m3,212,Very Unhealthy,Valid
09/01/2022 07:00,7,165.2,172,ug/m3,216,Very Unhealthy,Valid
09/01/2022 08:00,8,164.8,164,ug/m3,215,Very Unhealthy,Valid
09/01/2022 09:00,9,168.8,177,ug/m3,219,Very Unhealthy,Valid
09/01/2022 10:00,10,169.4,171,ug/m3,220,Very Unhealthy,Valid
09/01/2022 11:00,11,161.6,144,ug/m3,212,Very Unhealthy,Valid
09/01/2022 12:00,12,153.8,134,ug/m3,204,Very Unhealthy,Valid
09/01/2022 13:00,13,116.9,88,ug/m3,183,Unhealthy,Valid
09/01/2022 14:00,14,108.9,101,ug/m3,179,Unhealthy,Valid
09/01/2022 15:00,15,106.9,105,ug/m3,178,Unhealthy,Valid
